REF_DATE,GEO,DGUID,Age group,Sex,Element,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016/2018,Canada,2016A000011124,0,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308758,1.1.1.3,0.00453,,,,5
2016/2018,Canada,2016A000011124,1,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308761,1.2.1.3,0.00025,,,,5
2016/2018,Canada,2016A000011124,2,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308764,1.3.1.3,0.00018,,,,5
2016/2018,Canada,2016A000011124,3,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308767,1.4.1.3,0.00014,,,,5
2016/2018,Canada,2016A000011124,4,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308770,1.5.1.3,0.00011,,,,5
2016/2018,Canada,2016A000011124,5,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308773,1.6.1.3,0.00009,,,,5
2016/2018,Canada,2016A000011124,6,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308776,1.7.1.3,0.00008,,,,5
2016/2018,Canada,2016A000011124,7,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308779,1.8.1.3,0.00008,,,,5
2016/2018,Canada,2016A000011124,8,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308782,1.9.1.3,0.00007,,,,5
2016/2018,Canada,2016A000011124,9,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308785,1.10.1.3,0.00008,,,,5
2016/2018,Canada,2016A000011124,10,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308788,1.11.1.3,0.00008,,,,5
2016/2018,Canada,2016A000011124,11,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308791,1.12.1.3,0.00009,,,,5
2016/2018,Canada,2016A000011124,12,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308794,1.13.1.3,0.0001,,,,5
2016/2018,Canada,2016A000011124,13,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308797,1.14.1.3,0.00013,,,,5
2016/2018,Canada,2016A000011124,14,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308800,1.15.1.3,0.00016,,,,5
2016/2018,Canada,2016A000011124,15,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308803,1.16.1.3,0.00021,,,,5
2016/2018,Canada,2016A000011124,16,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308806,1.17.1.3,0.00027,,,,5
2016/2018,Canada,2016A000011124,17,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308809,1.18.1.3,0.00033,,,,5
2016/2018,Canada,2016A000011124,18,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308812,1.19.1.3,0.00039,,,,5
2016/2018,Canada,2016A000011124,19,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308815,1.20.1.3,0.00045,,,,5
2016/2018,Canada,2016A000011124,20,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308818,1.21.1.3,0.00051,,,,5
2016/2018,Canada,2016A000011124,21,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308821,1.22.1.3,0.00055,,,,5
2016/2018,Canada,2016A000011124,22,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308824,1.23.1.3,0.00059,,,,5
2016/2018,Canada,2016A000011124,23,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308827,1.24.1.3,0.00062,,,,5
2016/2018,Canada,2016A000011124,24,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308830,1.25.1.3,0.00064,,,,5
2016/2018,Canada,2016A000011124,25,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308833,1.26.1.3,0.00065,,,,5
2016/2018,Canada,2016A000011124,26,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308836,1.27.1.3,0.00067,,,,5
2016/2018,Canada,2016A000011124,27,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308839,1.28.1.3,0.00069,,,,5
2016/2018,Canada,2016A000011124,28,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308842,1.29.1.3,0.00071,,,,5
2016/2018,Canada,2016A000011124,29,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308845,1.30.1.3,0.00073,,,,5
2016/2018,Canada,2016A000011124,30,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308848,1.31.1.3,0.00076,,,,5
2016/2018,Canada,2016A000011124,31,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308851,1.32.1.3,0.00079,,,,5
2016/2018,Canada,2016A000011124,32,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308854,1.33.1.3,0.00081,,,,5
2016/2018,Canada,2016A000011124,33,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308857,1.34.1.3,0.00083,,,,5
2016/2018,Canada,2016A000011124,34,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308860,1.35.1.3,0.00085,,,,5
2016/2018,Canada,2016A000011124,35,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308863,1.36.1.3,0.00087,,,,5
2016/2018,Canada,2016A000011124,36,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308866,1.37.1.3,0.00088,,,,5
2016/2018,Canada,2016A000011124,37,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308869,1.38.1.3,0.00091,,,,5
2016/2018,Canada,2016A000011124,38,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308872,1.39.1.3,0.00096,,,,5
2016/2018,Canada,2016A000011124,39,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308875,1.40.1.3,0.00101,,,,5
2016/2018,Canada,2016A000011124,40,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308878,1.41.1.3,0.00109,,,,5
2016/2018,Canada,2016A000011124,41,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308881,1.42.1.3,0.00117,,,,5
2016/2018,Canada,2016A000011124,42,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308884,1.43.1.3,0.00127,,,,5
2016/2018,Canada,2016A000011124,43,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308887,1.44.1.3,0.00137,,,,5
2016/2018,Canada,2016A000011124,44,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308890,1.45.1.3,0.00149,,,,5
2016/2018,Canada,2016A000011124,45,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308893,1.46.1.3,0.00161,,,,5
2016/2018,Canada,2016A000011124,46,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308896,1.47.1.3,0.00174,,,,5
2016/2018,Canada,2016A000011124,47,Both sexes,Death probability between age x and x+1 (qx),Number,223,units,0,v123308899,1.48.1.3,0.00189,,,,5
